,Weight,Length1,Length2,Length3,Height,Width
0,242.0,23.2,25.4,30.0,11.52,4.02
1,290.0,24.0,26.3,31.2,12.48,4.3056
2,340.0,23.9,26.5,31.1,12.3778,4.6961
3,363.0,26.3,29.0,33.5,12.73,4.4555
4,430.0,26.5,29.0,34.0,12.444,5.134
5,450.0,26.8,29.7,34.7,13.6024,4.9274
6,500.0,26.8,29.7,34.5,14.1795,5.2785
7,390.0,27.6,30.0,35.0,12.67,4.69
8,450.0,27.6,30.0,35.1,14.0049,4.8438
9,500.0,28.5,30.7,36.2,14.2266,4.9594
10,475.0,28.4,31.0,36.2,14.2628,5.1042
11,500.0,28.7,31.0,36.2,14.3714,4.8146
12,500.0,29.1,31.5,36.4,13.7592,4.368
13,340.0,29.5,32.0,37.3,13.9129,5.0728
14,600.0,29.4,32.0,37.2,14.9544,5.1708
15,600.0,29.4,32.0,37.2,15.438,5.58
16,700.0,30.4,33.0,38.3,14.8604,5.2854
17,700.0,30.4,33.0,38.5,14.938,5.1975
18,610.0,30.9,33.5,38.6,15.633,5.1338
19,650.0,31.0,33.5,38.7,14.4738,5.7276
20,575.0,31.3,34.0,39.5,15.1285,5.5695
21,685.0,31.4,34.0,39.2,15.9936,5.3704
22,620.0,31.5,34.5,39.7,15.5227,5.2801
23,680.0,31.8,35.0,40.6,15.4686,6.1306
24,700.0,31.9,35.0,40.5,16.2405,5.589
25,725.0,31.8,35.0,40.9,16.36,6.0532
26,720.0,32.0,35.0,40.6,16.3618,6.09
27,714.0,32.7,36.0,41.5,16.517,5.8515
28,850.0,32.8,36.0,41.6,16.8896,6.1984
29,1000.0,33.5,37.0,42.6,18.957,6.603
30,920.0,35.0,38.5,44.1,18.0369,6.3063
31,955.0,35.0,38.5,44.0,18.084,6.292
32,925.0,36.2,39.5,45.3,18.7542,6.7497
33,975.0,37.4,41.0,45.9,18.6354,6.7473
34,950.0,38.0,41.0,46.5,17.6235,6.3705
35,40.0,12.9,14.1,16.2,4.1472,2.268
36,69.0,16.5,18.2,20.3,5.2983,2.8217
37,78.0,17.5,18.8,21.2,5.5756,2.9044
38,87.0,18.2,19.8,22.2,5.6166,3.1746
39,120.0,18.6,20.0,22.2,6.216,3.5742
40,0.0,19.0,20.5,22.8,6.4752,3.3516
41,110.0,19.1,20.8,23.1,6.1677,3.3957
42,120.0,19.4,21.0,23.7,6.1146,3.2943
43,150.0,20.4,22.0,24.7,5.8045,3.7544
44,145.0,20.5,22.0,24.3,6.6339,3.5478
45,160.0,20.5,22.5,25.3,7.0334,3.8203
46,140.0,21.0,22.5,25.0,6.55,3.325
47,160.0,21.1,22.5,25.0,6.4,3.8
48,169.0,22.0,24.0,27.2,7.5344,3.8352
49,161.0,22.0,23.4,26.7,6.9153,3.6312
50,200.0,22.1,23.5,26.8,7.3968,4.1272
51,180.0,23.6,25.2,27.9,7.0866,3.906
52,290.0,24.0,26.0,29.2,8.8768,4.4968
53,272.0,25.0,27.0,30.6,8.568,4.7736
54,390.0,29.5,31.7,35.0,9.485,5.355
55,270.0,23.6,26.0,28.7,8.3804,4.2476
56,270.0,24.1,26.5,29.3,8.1454,4.2485
57,306.0,25.6,28.0,30.8,8.778,4.6816
58,540.0,28.5,31.0,34.0,10.744,6.562
59,800.0,33.7,36.4,39.6,11.7612,6.5736
60,1000.0,37.3,40.0,43.5,12.354,6.525
61,55.0,13.5,14.7,16.5,6.8475,2.3265
62,60.0,14.3,15.5,17.4,6.5772,2.3142
63,90.0,16.3,17.7,19.8,7.4052,2.673
64,120.0,17.5,19.0,21.3,8.3922,2.9181
65,150.0,18.4,20.0,22.4,8.8928,3.2928
66,140.0,19.0,20.7,23.2,8.5376,3.2944
67,170.0,19.0,20.7,23.2,9.396,3.4104
68,145.0,19.8,21.5,24.1,9.7364,3.1571
69,200.0,21.2,23.0,25.8,10.3458,3.6636
70,273.0,23.0,25.0,28.0,11.088,4.144
71,300.0,24.0,26.0,29.0,11.368,4.234
72,5.9,7.5,8.4,8.8,2.112,1.408
73,32.0,12.5,13.7,14.7,3.528,1.9992
74,40.0,13.8,15.0,16.0,3.824,2.432
75,51.5,15.0,16.2,17.2,4.5924,2.6316
76,70.0,15.7,17.4,18.5,4.588,2.9415
77,100.0,16.2,18.0,19.2,5.2224,3.3216
78,78.0,16.8,18.7,19.4,5.1992,3.1234
79,80.0,17.2,19.0,20.2,5.6358,3.0502
80,85.0,17.8,19.6,20.8,5.1376,3.0368
81,85.0,18.2,20.0,21.0,5.082,2.772
82,110.0,19.0,21.0,22.5,5.6925,3.555
83,115.0,19.0,21.0,22.5,5.9175,3.3075
84,125.0,19.0,21.0,22.5,5.6925,3.6675
85,130.0,19.3,21.3,22.8,6.384,3.534
86,120.0,20.0,22.0,23.5,6.11,3.4075
87,120.0,20.0,22.0,23.5,5.64,3.525
88,130.0,20.0,22.0,23.5,6.11,3.525
89,135.0,20.0,22.0,23.5,5.875,3.525
90,110.0,20.0,22.0,23.5,5.5225,3.995
91,130.0,20.5,22.5,24.0,5.856,3.624
92,150.0,20.5,22.5,24.0,6.792,3.624
93,145.0,20.7,22.7,24.2,5.9532,3.63
94,150.0,21.0,23.0,24.5,5.2185,3.626
95,170.0,21.5,23.5,25.0,6.275,3.725
96,225.0,22.0,24.0,25.5,7.293,3.723
97,145.0,22.0,24.0,25.5,6.375,3.825
98,188.0,22.6,24.6,26.2,6.7334,4.1658
99,180.0,23.0,25.0,26.5,6.4395,3.6835
100,197.0,23.5,25.6,27.0,6.561,4.239
101,218.0,25.0,26.5,28.0,7.168,4.144
102,300.0,25.2,27.3,28.7,8.323,5.1373
103,260.0,25.4,27.5,28.9,7.1672,4.335
104,265.0,25.4,27.5,28.9,7.0516,4.335
105,250.0,25.4,27.5,28.9,7.2828,4.5662
106,250.0,25.9,28.0,29.4,7.8204,4.2042
107,300.0,26.9,28.7,30.1,7.5852,4.6354
108,320.0,27.8,30.0,31.6,7.6156,4.7716
109,514.0,30.5,32.8,34.0,10.03,6.018
110,556.0,32.0,34.5,36.5,10.2565,6.3875
